Certification_Id,Project_Id,RatingSystem,PointsAchieved,CertLevel,CertDate
1,1000011028,LEED-NC v2009,52,Silver,2024-11-20
2,1000011315,LEED-NC v2009,81,Platinum,2024-08-30
3,1000012868,LEED-NC v2009,53,Silver,2024-08-08
4,1000017965,LEED-NC v2009,52,Silver,2024-08-07
5,1000020194,LEED-NC v2009,57,Silver,2024-11-08
6,1000024595,LEED-NC v2009,50,Silver,2024-04-19
7,1000026963,LEED-NC v2009,51,Silver,2024-09-04
8,1000027670,LEED-NC v2009,45,Certified,2024-12-09
9,1000028180,LEED-NC v2009,41,Certified,2024-09-29
10,1000028301,LEED-NC v2009,53,Silver,2024-04-15
11,1000029009,LEED-NC v2009,56,Silver,2024-04-03
12,1000031364,LEED-NC v2009,65,Gold,2024-09-11
13,1000032129,LEED-NC v2009,43,Certified,2024-05-15
14,1000032397,LEED-NC v2009,50,Silver,2024-08-07
15,1000034456,LEED Italia NC 2009,76,Gold,2024-02-09
16,1000035933,LEED-NC v2009,50,Silver,2024-12-02
17,1000036749,LEED-NC v2009,81,Platinum,2024-10-10
18,1000036792,LEED-NC v2009,52,Silver,2024-03-21
19,1000041700,LEED-NC v2009,57,Silver,2024-08-01
20,1000045301,LEED-NC v2009,61,Gold,2024-07-11
21,1000045559,LEED-NC v2009,62,Gold,2024-02-21
22,1000051846,LEED-NC v2009,60,Gold,2024-05-22
23,1000052319,LEED-NC v2009,54,Silver,2024-01-26
24,1000052529,LEED-NC v2009,40,Certified,2024-06-12
25,1000052631,LEED-NC v2009,54,Silver,2024-01-16
26,1000053613,LEED-NC v2009,50,Silver,2024-03-29
27,1000054064,LEED-NC v2009,60,Gold,2024-08-19
28,1000055676,LEED-NC v2009,54,Silver,2024-07-09
29,1000055677,LEED-NC v2009,67,Gold,2024-07-09
30,1000056941,LEED-NC v2009,53,Silver,2024-07-15
31,1000057425,LEED-NC v2009,61,Gold,2024-05-02
32,1000058836,LEED-NC v2009,46,Certified,2024-02-12
33,1000059705,LEED-NC v2009,41,Certified,2024-05-02
34,1000061064,LEED-NC v2009,61,Gold,2024-02-28
35,1000063098,LEED-NC v2009,49,Certified,2024-07-10
36,1000063509,LEED-NC v2009,52,Silver,2024-04-29
37,1000064718,LEED-NC v2009,60,Gold,2024-08-07
38,1000065115,LEED-NC v2009,66,Gold,2024-04-11
39,1000065117,LEED-NC v2009,86,Platinum,2024-04-11
40,1000065227,LEED-NC v2009,55,Silver,2024-12-26
41,1000065546,LEED v4 BD+C: NC,52,Silver,2024-02-07
42,1000065565,LEED-NC v2009,63,Gold,2024-03-11
43,1000066926,LEED-NC v2009,57,Silver,2024-12-20
44,1000068525,LEED-NC v2009,70,Gold,2024-08-20
45,1000068550,LEED-NC v2009,51,Silver,2024-09-17
46,1000068666,LEED-NC v2009,44,Certified,2024-08-26
47,1000068761,LEED-NC v2009,60,Gold,2024-04-12
48,1000068763,LEED-NC v2009,63,Gold,2024-08-02
49,1000069108,LEED-NC v2009,45,Certified,2024-02-08
50,1000069449,LEED-NC v2009,61,Gold,2024-03-08
51,1000069540,LEED-NC v2009,60,Gold,2024-04-25
52,1000069729,LEED-NC v2009,71,Gold,2024-07-16
53,1000070502,LEED-NC v2009,61,Gold,2024-06-10
54,1000070772,LEED-NC v2009,81,Platinum,2024-05-28
55,1000070805,LEED v4 BD+C: NC,65,Gold,2024-03-13
56,1000071091,LEED-NC v2009,60,Gold,2024-01-12
57,1000073115,LEED-NC v2009,56,Silver,2024-03-19
58,1000073581,LEED-NC v2009,60,Gold,2024-03-05
59,1000074052,LEED-NC v2009,54,Silver,2024-04-01
60,1000074344,LEED v4 BD+C: NC,55,Silver,2024-06-26
61,1000074436,LEED-NC v2009,62,Gold,2024-11-18
62,1000074440,LEED-NC v2009,51,Silver,2024-03-28
63,1000075239,LEED-NC v2009,66,Gold,2024-09-06
64,1000075504,LEED-NC v2009,71,Gold,2024-03-04
65,1000075550,LEED-NC v2009,60,Gold,2024-03-13
66,1000075790,LEED v4 BD+C: NC,52,Silver,2024-04-04
67,1000077786,LEED-NC v2009,43,Certified,2024-05-15
68,1000078124,LEED-NC v2009,56,Silver,2024-01-11
69,1000078249,LEED-NC v2009,52,Silver,2024-01-09
70,1000078278,LEED-NC v2009,64,Gold,2024-01-02
71,1000078343,LEED-NC v2009,58,Silver,2024-04-19
72,1000078390,LEED v4 BD+C: NC,86,Platinum,2024-07-15
73,1000078903,LEED-NC v2009,52,Silver,2024-12-05
