City_Id,State_Id,CityName
1,1,CLA
2,2,WAS
3,3,MAN
4,4,CON
5,1,CP
6,5,SER
7,6,LA
8,7,PAL
9,8,WIS
10,9,ELL
11,10,PIT
12,11,RDG
13,3,NY
14,12,IST
15,3,QUE
16,7,GRA
17,1,SS
18,6,WIL
19,10,JOH
20,7,JOI
21,13,MIA
22,6,RED
23,6,FC
24,3,BRO
25,8,LEE
26,14,CON
27,15,WAR
28,16,HK
29,8,FIS
30,8,RAD
31,17,CHA
32,13,GAI
33,8,ARL
34,6,SF
35,18,FAR
36,19,SHE
37,20,BLO
38,21,NAS
39,22,LUB
40,8,BLA
41,8,RIC
42,1,BOW
43,23,CON
44,9,NB
45,6,SYL
46,19,BOS
47,6,HAY
48,8,CHA
49,24,MIN
50,19,WAT
51,1,TOW
52,25,SHE
53,3,SYR
54,3,LEW
55,8,NN
56,26,CHA
57,6,LB
58,27,DOV
59,8,FAI
60,8,STE
61,28,MAL
62,13,SWE
63,8,WIL
64,6,LJ
65,1,CC
66,29,TRI
67,30,WAR
68,1,LAU
69,13,CHR
70,10,PHI
71,19,NEW
72,31,BAN
73,10,HAR
74,32,RAK
75,8,HAR
76,33,ATL
77,34,WIN
78,35,CAL
79,36,HON
80,19,CAM
81,9,SEA
82,37,CON
83,6,SAC
84,38,BRA
85,6,CHI
86,8,HER
87,39,PYE
88,6,PH
89,40,ANT
90,41,MON
91,42,AVO
92,41,SDB
93,9,LYN
94,6,SP
95,10,LAT
96,43,NH
97,42,DEN
98,6,SLO
99,44,CON
100,45,AUB
101,46,LEX
102,47,HAN
103,38,TOR
104,48,CIN
105,49,PAR
106,50,VIC
107,48,GAM
108,35,INN
109,8,FB
110,48,HEA
111,9,SNO
112,15,GR
113,20,MUN
114,6,SJ
115,51,CON
116,22,SA
117,52,IC
118,53,CON
119,54,SDQ
120,42,GOL
121,13,DB
122,48,COL
123,55,MON
124,8,LEX
125,13,TAM
126,56,CON
127,9,RED
128,38,OAK
129,19,GRA
130,57,BUR
131,58,SAL
132,43,MID
133,25,FOS
134,30,POR
135,32,AD
136,1,BAL
137,26,RAL
138,59,MAD
139,60,PLA
140,28,MIS
141,10,REA
142,8,SPR
143,61,BS
144,20,ND
145,6,DAV
146,62,TIA
147,63,ODM
148,22,AUS
149,64,TEK
150,41,SAI
151,20,IND
152,22,HOU
153,46,HH
154,8,FRE
155,1,COL
156,38,OTT
157,9,PAS
158,65,BOL
159,10,MA
160,8,ALE
161,32,DUB
162,20,WL
163,52,DM
164,66,MIL
165,6,MUR
166,63,BAR
167,1,MCH
168,67,SSL
169,9,REN
