ID,ProjectName,City,State,Zipcode,Country,RatingSystem,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorAreaSqm,ProjectTypes
1000011028,Clarksburg Fire Station 35,CLA,MD,20871,US,LEED-NC v2009,52,Silver,2024-11-20,Yes,23025.0,Public Order and Safety: Fire/Police Station
1000011315,Moultrie Courthouse - C Street Addition,WAS,DC,20001,US,LEED-NC v2009,81,Platinum,2024-08-30,Yes,175000.0,Office: Government
1000012868,Petrocelli Surgical Pavilion Addition,MAN,NY,11030,US,LEED-NC v2009,53,Silver,2024-08-08,Yes,288801.0,Health Care
1000017965,CONF,CON,MD,0,US,LEED-NC v2009,52,Silver,2024-08-07,Yes,323222.0,CONF
1000020194,UMD New Cole Fieldhouse,CP,MD,20742,US,LEED-NC v2009,57,Silver,2024-11-08,Yes,407175.0,Core Learning Space: College/University
1000024595,PG Seropedica Genie,SER,RJ,0,BR,LEED-NC v2009,50,Silver,2024-04-19,Yes,141114.0,Industrial Manufacturing
1000026963,LA North Central Animal Care Ctr II,LA,CA,90031,US,LEED-NC v2009,51,Silver,2024-09-04,Yes,39634.0,Office: Government
1000027670,Harper College - Building D,PAL,IL,60067,US,LEED-NC v2009,45,Certified,2024-12-09,Yes,142371.0,Core Learning Space: College/University
1000028180,UVA Wise Library,WIS,VA,24293,US,LEED-NC v2009,41,Certified,2024-09-29,Yes,68353.0,Public Assembly: Library
1000028301,Samuelson Bldg Renovation & Expansion,ELL,WA,98926,US,LEED-NC v2009,53,Silver,2024-04-15,Yes,135753.0,Core Learning Space: College/University
1000029009,CONF,CON,NY,0,US,LEED-NC v2009,56,Silver,2024-04-03,Yes,17864.0,CONF
1000031364,CONF,CON,CA,0,US,LEED-NC v2009,65,Gold,2024-09-11,Yes,66042.0,CONF
1000032129,Pittsburgh Playhouse,PIT,PA,15222,US,LEED-NC v2009,43,Certified,2024-05-15,Yes,90350.0,Core Learning Space: College/University
1000032397,CONF,CON,GU,0,US,LEED-NC v2009,50,Silver,2024-08-07,Yes,75412.0,CONF
1000034456,Cittadella della Accoglienza,RDG,TN,38066,IT,LEED Italia NC 2009,76,Gold,2024-02-09,Yes,70395.2,Healthcare: Nursing Home/ Assisted Living
1000035933,New York State Insurance Fund,NY,NY,10007,US,LEED-NC v2009,50,Silver,2024-12-02,Yes,314285.0,Office: Government
1000036749,Ziraat Bank Tower 2,IST,IST,34750,TR,LEED-NC v2009,81,Platinum,2024-10-10,Yes,897653.0,Office: Administrative/Professional
1000036792,Idlewild Nature Center,QUE,NY,11413,US,LEED-NC v2009,52,Silver,2024-03-21,Yes,4923.0,Core Learning Space: Other classroom education
1000041700,CLC GMP1-GMP2,GRA,IL,60030,US,LEED-NC v2009,57,Silver,2024-08-01,Yes,229281.0,Core Learning Space: College/University
1000045301,Elizabeth House III,SS,MD,20910,US,LEED-NC v2009,61,Gold,2024-07-11,Yes,216210.0,Multi-Family Residential: Apartment
1000045559,NZP Bird House Facility Renewal,WAS,DC,20008,US,LEED-NC v2009,62,Gold,2024-02-21,Yes,30655.0,Public Assembly: Other Assembly
1000051846,Glenn County Courthouse,WIL,CA,95688,US,LEED-NC v2009,60,Gold,2024-05-22,Yes,56146.0,Office: Government
1000052319,CONF,CON,TX,0,US,LEED-NC v2009,54,Silver,2024-01-26,Yes,606858.11,CONF
1000052529,UPJ Engineering - Science Building Reno,JOH,PA,15904,US,LEED-NC v2009,40,Certified,2024-06-12,Yes,65245.0,Core Learning Space: College/University
1000052631,Holiday Inn and Suites,JOI,IL,60431,US,LEED-NC v2009,54,Silver,2024-01-16,Yes,109983.0,"Lodging: Hotel/Motel/Resort, Full Service"
1000053613,River Landing Residences,MIA,FL,33125,US,LEED-NC v2009,50,Silver,2024-03-29,Yes,1026486.0,Multi-Family Residential: Apartment
1000054064,"Shasta County, New Redding Courthouse",RED,CA,96001,US,LEED-NC v2009,60,Gold,2024-08-19,Yes,157469.0,Other
1000055676,VA Stockton CUP,FC,CA,95231,US,LEED-NC v2009,54,Silver,2024-07-09,Yes,9004.0,Service: Other Service
1000055677,VA Stockton CBOC,FC,CA,95231,US,LEED-NC v2009,67,Gold,2024-07-09,Yes,151252.0,Healthcare: Clinic/Other Outpatient
1000056941,CALVERT VAUX PARK COMFORT STATION,BRO,NY,11214,US,LEED-NC v2009,53,Silver,2024-07-15,Yes,3315.0,Public Order and Safety: Other Public Order
1000057425,Loudoun County Juvenile Detention Center,LEE,VA,20175,US,LEED-NC v2009,61,Gold,2024-05-02,Yes,35700.0,Other
1000058836,CONF,CON,AE,0,AE,LEED-NC v2009,46,Certified,2024-02-12,Yes,2909713.0,CONF
1000059705,GM Design Center,WAR,MI,48909,US,LEED-NC v2009,41,Certified,2024-05-02,Yes,360000.0,Office: Administrative/Professional
1000061064,Sai Kung Hotel,HK,NT,850,HK,LEED-NC v2009,61,Gold,2024-02-28,Yes,193106.0,"Lodging: Hotel/Motel/Resort, Full Service"
1000063098,WWRC Anderson Vocational Building,FIS,VA,22939,US,LEED-NC v2009,49,Certified,2024-07-10,Yes,112011.0,Core Learning Space: Other classroom education
1000063509,Missoni Baia,MIA,FL,33137,US,LEED-NC v2009,52,Silver,2024-04-29,Yes,827270.0,Multi-Family Residential: Condominium
1000064718,Whitt Hall Renovation,RAD,VA,24142,US,LEED-NC v2009,60,Gold,2024-08-07,Yes,32780.0,Core Learning Space: College/University
