Country,Year,Population,Energy_per_capita,Emission_factor_per_country,Primary_energy_consumption
AE,2022,9441138.0,148576.547,118.4,1402.732
BR,2022,215313504.0,17299.75,37.9,3724.87
CA,2022,38454328.0,102160.289,90.2,3928.505
CN,2022,1425887360.0,31051.48,163.2,44275.914
HK,2022,7488863.0,29152.305,169.2,218.318
IN,2022,1417173120.0,7143.406,208.9,10123.443
IT,2022,59037472.0,28910.201,72.3,1706.785
KR,2022,51815808.0,68126.188,120.5,3530.013
MX,2022,127504120.0,19009.186,87.9,2423.75
TR,2022,85341248.0,22824.15,124.8,1947.841
US,2022,338289856.0,78754.273,127.6,26641.771
ES,2022,47558632.0,33615.332,68.0,1598.699
