ProjectName,CertLevel,GrossFloorAreaSqm,EnergySaving,EnergySaving_Percent,Cert_Level_Num
Clarksburg Fire Station 35,Silver,2139.09,48130.0,0.11250111028521474,2
Moultrie Courthouse - C Street Addition,Platinum,16258.02,853546.0,0.26249998462297375,4
Petrocelli Surgical Pavilion Addition,Silver,26830.48,2817200.0,0.5249999254579121,2
CONF,Silver,30028.29,1126061.0,0.187500020813706,2
UMD New Cole Fieldhouse,Silver,37827.78,1702250.0,0.22499998678220082,2
PG Seropedica Genie,Silver,13109.91,1376541.0,0.5250001716258922,2
LA North Central Animal Care Ctr II,Silver,3682.12,82848.0,0.1125004073740128,2
Harper College - Building D,Certified,13226.69,396801.0,0.150000113407058,1
UVA Wise Library,Certified,6350.2,190506.0,0.15,1
Samuelson Bldg Renovation & Expansion,Silver,12611.86,567534.0,0.22500011893566849,2
CONF,Silver,1659.62,62236.0,0.1875007531844639,2
CONF,Gold,6135.5,383469.0,0.31250020373237714,3
Pittsburgh Playhouse,Certified,8393.79,251814.0,0.15000017870354151,1
CONF,Silver,7006.0,262725.0,0.1875,2
Cittadella della Accoglienza,Gold,6539.93,1144488.0,0.8750001911335442,3
New York State Insurance Fund,Silver,29198.02,656955.0,0.11249992293998018,2
Ziraat Bank Tower 2,Platinum,83394.66,4378220.0,0.26250002098455705,4
Idlewild Nature Center,Silver,457.36,20581.0,0.22499781353856918,2
CLC GMP1-GMP2,Silver,21300.89,958540.0,0.2249999882634012,2
Elizabeth House III,Gold,20086.56,753246.0,0.18749999999999997,3
NZP Bird House Facility Renewal,Gold,2847.94,106798.0,0.18750043891374116,3
Glenn County Courthouse,Gold,5216.13,195605.0,0.1875001198206333,3
CONF,Silver,56378.94,2114210.0,0.18749997782860053,2
UPJ Engineering - Science Building Reno,Certified,6061.46,181844.0,0.15000016497675478,1
Holiday Inn and Suites,Silver,10217.75,498115.0,0.24374984707983655,2
River Landing Residences,Silver,95363.63,2145682.0,0.11250001704003927,2
"Shasta County, New Redding Courthouse",Gold,14629.34,914334.0,0.31250008544472957,3
VA Stockton CUP,Silver,836.5,31369.0,0.187501494321578,2
VA Stockton CBOC,Gold,14051.76,2459058.0,0.875,3
CALVERT VAUX PARK COMFORT STATION,Silver,307.97,11549.0,0.18750202941844982,2
Loudoun County Juvenile Detention Center,Gold,3316.64,207290.0,0.3125,3
CONF,Certified,270321.07,6758027.0,0.12500000462413086,1
GM Design Center,Certified,33445.08,501676.0,0.07499997010023597,1
Sai Kung Hotel,Gold,17940.13,1457636.0,0.40625012193334165,3
WWRC Anderson Vocational Building,Certified,10406.16,312185.0,0.15000009609692722,1
Missoni Baia,Silver,76855.86,1729257.0,0.1125000097585272,2
Whitt Hall Renovation,Gold,3045.36,228402.0,0.375,3
HBS Production Base,Gold,148833.95,9302122.0,0.3125000041993107,3
HBS Art Museum,Platinum,12073.58,633863.0,0.2625000207063688,4
CONF,Silver,37502.9,1406359.0,0.18750003333075577,2
Wertheim Laboratory Building,Silver,7948.78,357695.0,0.22499993709726523,2
Clarendon West 1,Gold,29447.0,1104262.0,0.18749991510170816,3
Modera Rincon Hill,Silver,16519.73,371694.0,0.11250002270012888,2
Amrita Institute of Medical Science,Gold,393784.0,68912200.0,0.875,3
CONF,Silver,17647.3,661774.0,0.18750007083236528,2
Sherborn Library Addition,Certified,709.96,21299.0,0.15000140853005803,1
IU Memorial Stadium Excellence Academy,Gold,10816.05,1892809.0,0.8750001155689924,3
Four Seasons Hotel & Private Residences,Gold,61169.01,3823063.0,0.3124999897824078,3
Buddy Holly Hall of Performing Arts,Certified,19881.24,298219.0,0.07500010059734703,1
Holden Hall - Virginia Tech,Gold,9290.3,696772.0,0.37499973090212374,3
Virginia DBVI Headquarters Renovation,Gold,1814.3,68036.0,0.18749931102904702,3
Aspen Melford Town Center,Gold,41344.06,1550402.0,0.18749996976591074,3
CONF,Gold,59197.35,3699834.0,0.31249996832628485,3
King County LOOP Fleet Facility,Platinum,1352.67,71015.0,0.2624993531312146,4
Student Services Center- LAMC,Gold,5894.14,442060.0,0.37499957584991195,3
Harrison Albany Block Building 2,Gold,28364.21,1063658.0,0.18750002203481078,3
CONF,Silver,2564.49,96168.0,0.18749926886047522,2
CONF,Gold,6147.39,384212.0,0.31250010166916364,3
Chabot College Biological Sciences Annex,Silver,1803.06,81138.0,0.22500083191907091,2
UVA - Gilmer Hall,Silver,20624.47,928101.0,0.22499996363542918,2
City of Minneapolis ESS&MF,Gold,18974.04,711526.0,0.18749986824102827,3
Arsenal Yards Hampton Inn & Suites,Silver,10124.1,493550.0,0.24375006173388253,2
Towson University Science Complex,Gold,29627.14,2222036.0,0.3750000843820902,3
Baoan Phase 3 WTE Power Plant,Gold,10860.08,407253.0,0.1875,3
SUNY Ambulatory Care Facility,Gold,18910.78,3309386.0,0.8749998678002705,3
Lewiston-Queenston Land Port of Entry,Silver,4180.64,156774.0,0.18749999999999997,2
CNU -  Torggler Fine Art Center,Certified,8033.69,241011.0,0.1500001867137019,1
C-17 Fuel Cell Hangar Project,Silver,5844.9,131510.0,0.11249978613834283,2
La MaMa Experimental Theater,Silver,819.87,18447.0,0.11249954261041385,2
Port of Long Beach Fireboat Station 20,Gold,908.87,34083.0,0.1875020630013093,3
AF PN FJXT133000 DAFB Maintenance Hangar,Silver,7709.37,289101.0,0.1874997567894653,2
CONF,Platinum,78342.22,6854944.0,0.4374999840443633,4
South County Police St & Animal Shelter,Silver,4882.8,109863.0,0.1125,2
CONF,Certified,67447.58,1686190.0,0.12500003706582208,1
Sterling Park Safety Center,Gold,2171.33,81425.0,0.1875002878420139,3
Missile Maintenance Dispatch Facility,Silver,3897.75,146166.0,0.18750048104675773,2
Winthrop Center Residences,Gold,60386.95,2264511.0,0.18750003104975496,3
Miami-Dade Fire Rescue Fire Station 29,Silver,1056.31,23767.0,0.11250011833647319,2
W&M Fine & Performing Arts Center,Silver,14877.39,669483.0,0.22500015123620473,2
UCSD Marine Conservation & Tech Facility,Gold,3237.76,242832.0,0.375,3
CCL - B1,Silver,23132.85,520489.0,0.11249997298214444,2
