Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,Energy_Saving_kWh,CO2_Avoided_kg
1000011028,Clarksburg Fire Station 35,US,Silver,2024-11-20,2139.09,48130.0,21177.0
1000011315,Moultrie Courthouse - C Street Addition,US,Platinum,2024-08-30,16258.02,853546.0,375560.0
1000012868,Petrocelli Surgical Pavilion Addition,US,Silver,2024-08-08,26830.48,2817200.0,1239568.0
1000017965,CONF,US,Silver,2024-08-07,30028.29,1126061.0,495467.0
1000020194,UMD New Cole Fieldhouse,US,Silver,2024-11-08,37827.78,1702250.0,748990.0
1000024595,PG Seropedica Genie,BR,Silver,2024-04-19,13109.91,1376541.0,178950.0
1000026963,LA North Central Animal Care Ctr II,US,Silver,2024-09-04,3682.12,82848.0,36453.0
1000027670,Harper College - Building D,US,Certified,2024-12-09,13226.69,396801.0,174592.0
1000028180,UVA Wise Library,US,Certified,2024-09-29,6350.2,190506.0,83823.0
1000028301,Samuelson Bldg Renovation & Expansion,US,Silver,2024-04-15,12611.86,567534.0,249715.0
1000029009,CONF,US,Silver,2024-04-03,1659.62,62236.0,27384.0
1000031364,CONF,US,Gold,2024-09-11,6135.5,383469.0,168726.0
1000032129,Pittsburgh Playhouse,US,Certified,2024-05-15,8393.79,251814.0,110798.0
1000032397,CONF,US,Silver,2024-08-07,7006.0,262725.0,115599.0
1000034456,Cittadella della Accoglienza,IT,Gold,2024-02-09,6539.93,1144488.0,286122.0
1000035933,New York State Insurance Fund,US,Silver,2024-12-02,29198.02,656955.0,289060.0
1000036749,Ziraat Bank Tower 2,TR,Platinum,2024-10-10,83394.66,4378220.0,1882634.0
1000036792,Idlewild Nature Center,US,Silver,2024-03-21,457.36,20581.0,9056.0
1000041700,CLC GMP1-GMP2,US,Silver,2024-08-01,21300.89,958540.0,421758.0
1000045301,Elizabeth House III,US,Gold,2024-07-11,20086.56,753246.0,331428.0
1000045559,NZP Bird House Facility Renewal,US,Gold,2024-02-21,2847.94,106798.0,46991.0
1000051846,Glenn County Courthouse,US,Gold,2024-05-22,5216.13,195605.0,86066.0
1000052319,CONF,US,Silver,2024-01-26,56378.94,2114210.0,930253.0
1000052529,UPJ Engineering - Science Building Reno,US,Certified,2024-06-12,6061.46,181844.0,80011.0
1000052631,Holiday Inn and Suites,US,Silver,2024-01-16,10217.75,498115.0,219171.0
1000053613,River Landing Residences,US,Silver,2024-03-29,95363.63,2145682.0,944100.0
1000054064,"Shasta County, New Redding Courthouse",US,Gold,2024-08-19,14629.34,914334.0,402307.0
1000055676,VA Stockton CUP,US,Silver,2024-07-09,836.5,31369.0,13802.0
1000055677,VA Stockton CBOC,US,Gold,2024-07-09,14051.76,2459058.0,1081986.0
1000056941,CALVERT VAUX PARK COMFORT STATION,US,Silver,2024-07-15,307.97,11549.0,5082.0
1000057425,Loudoun County Juvenile Detention Center,US,Gold,2024-05-02,3316.64,207290.0,91208.0
1000058836,CONF,AE,Certified,2024-02-12,270321.07,6758027.0,2703211.0
1000059705,GM Design Center,US,Certified,2024-05-02,33445.08,501676.0,220738.0
1000061064,Sai Kung Hotel,HK,Gold,2024-02-28,17940.13,1457636.0,845429.0
1000063098,WWRC Anderson Vocational Building,US,Certified,2024-07-10,10406.16,312185.0,137361.0
1000063509,Missoni Baia,US,Silver,2024-04-29,76855.86,1729257.0,760873.0
1000064718,Whitt Hall Renovation,US,Gold,2024-08-07,3045.36,228402.0,100497.0
1000065115,HBS Production Base,CN,Gold,2024-04-11,148833.95,9302122.0,5209188.0
