Country,EnergySaving,CO2Avoided,WaterSaving,WasteAvoided,EnergySaving_norm,CO2Avoided_norm,WaterSaving_norm,WasteAvoided_norm,SustainabilityScore,Rank
CN,1609050404.0,901068232.0,4431633.769,60084780.246,1.0,1.0,1.0,1.0,4.0,1
IN,927461987.0,658498009.0,4120326.286,33224542.085,0.5682488288287578,0.7285264805829486,0.927558009935951,0.5418253304840512,2.7661586498317083,2
US,676091746.0,297480368.0,2866432.493,35167656.408,0.4090187227376982,0.32449201847210807,0.6357739486646752,0.5749704484623754,1.944255138336857,3
HK,230489689.0,133684018.0,700394.03,10434681.033,0.12675276107000658,0.14117862141855808,0.13173165805583106,0.1530820515441243,0.55274509208852,4
AE,185334323.0,74133729.0,919897.711,9011340.877,0.09814916149450781,0.07453265664516326,0.1828106855330606,0.12880310056553776,0.48429560423826945,5
KR,145733767.0,59750847.0,411363.006,7180027.098,0.0730642480693544,0.0584359917387697,0.06447345286578783,0.09756504599416718,0.2935387386680791,6
CA,118667453.0,36786912.0,500064.589,6876280.840899999,0.055919131636443256,0.032735804069344135,0.08511452172936992,0.09238382458692118,0.2661532820220785,7
TR,63386513.0,27256199.0,380031.294,3138925.082,0.0209015022384848,0.022069465189555725,0.057182489129482,0.028633022027626808,0.12878647858514933,8
BR,57972566.0,7536430.0,236459.726,2650348.142,0.017472045546428026,0.0,0.023773044543352582,0.020299008878680122,0.061544098968460734,9
IT,50406702.0,12601674.0,229285.901,2359914.7844499997,0.012679460224482422,0.0056687898389989255,0.0221036784415065,0.015344875307180749,0.055796803812168595,10
ES,47248593.0,10867174.0,183734.921,2465679.486,0.010678960765530437,0.0037276166248865084,0.011503857297574369,0.017148980947967078,0.04305941563595839,11
MX,30390142.0,9117042.0,134298.995,1460329.904,0.0,0.0017689487900286285,0.0,0.0,0.0017689487900286285,12
