Location_Id,City_Id,Zipcode
1,1,20871
2,2,20001
3,3,11030
4,4,0
5,5,20742
6,6,0
7,7,90031
8,8,60067
9,9,24293
10,10,98926
11,4,0
12,4,0
13,11,15222
14,4,0
15,12,38066
16,13,10007
17,14,34750
18,15,11413
19,16,60030
20,17,20910
21,2,20008
22,18,95688
23,4,0
24,19,15904
25,20,60431
26,21,33125
27,22,96001
28,23,95231
29,23,95231
30,24,11214
31,25,20175
32,26,0
33,27,48909
34,28,850
35,29,22939
36,21,33137
37,30,24142
38,31,410000
39,31,410000
40,4,0
41,32,32611
42,33,22201
43,34,94404
44,35,121002
45,4,0
46,36,1770
47,37,47408
48,38,37201
49,39,79401
50,40,24061
51,41,23227
52,42,20715
53,43,0
54,44,98045
55,45,91342
56,46,2118
57,4,0
58,4,0
59,47,94545
60,48,22904
61,49,55418
62,50,2472
63,51,21252
64,52,518000
65,53,13210
66,54,14092
67,55,23606
68,56,28208
69,13,10003
70,57,90801
71,58,19902
72,4,0
73,59,22035
74,4,0
75,60,20175
76,61,59402
77,46,2110
78,62,33174
79,63,23185
80,64,92037
81,65,20815
82,51,21252
83,4,0
84,4,0
85,26,0
86,66,34121
87,67,97146
88,59,22030
89,68,20723
90,4,0
91,69,32709
92,70,19118
93,8,60067
94,33,22203
95,71,1950
96,72,562158
97,14,34433
98,14,34846
99,14,34846
100,73,17102
101,74,0
102,75,22807
103,43,0
104,4,0
105,76,30310
106,47,94545
107,77,0
108,78,0
109,79,96814
110,80,2142
111,81,98158
112,82,0
113,7,90024
114,81,98101
115,83,95817
116,84,0
117,48,22903
118,85,95929
119,86,20171
120,2,20003
121,87,17979
122,88,94523
123,82,0
124,77,0
125,89,0
126,90,0
127,14,34320
128,80,2141
129,57,90807
130,11,15219
131,91,81620
132,92,0
133,93,98036
134,13,10019
135,94,94806
136,95,15650
137,96,6511
138,97,80249
139,98,93407
140,99,0
141,100,36830
142,101,40507
143,101,40507
144,34,94124
145,102,3755
146,103,0
147,104,45219
148,7,90045
149,105,7652
150,4,0
151,106,0
152,107,43022
153,108,0
154,4,0
155,109,22060
156,110,43056
157,111,20812
158,112,49503
159,41,23284
160,4,0
161,113,47306
162,114,95112
163,7,90095
164,115,0
165,116,78205
166,117,52240
167,118,0
168,119,76000
169,14,34467
170,103,0
171,120,80403
172,121,33442
173,122,0
174,113,47306
175,123,1030
176,4,0
177,124,24450
178,125,33620
179,126,0
180,4,0
181,127,98052
182,4,0
183,63,23185
184,63,23185
185,128,0
186,129,1519
187,4,0
188,130,5405
189,88,94523
190,78,0
191,131,37002
192,132,6457
193,122,43215
194,2,20003
195,2,20003
196,133,528313
197,134,97205
198,135,96082
199,136,21251
200,137,27614
201,58,19901
202,138,28045
203,139,0
204,140,59801
205,141,19610
206,142,22150
207,143,38828
208,144,46556
209,145,95616
210,81,98105
211,80,2138
212,146,300451
213,146,300451
214,4,0
215,147,8640
216,148,78719
217,122,43210
218,149,59850
219,76,0
220,150,0
221,4,0
222,151,46203
223,4,0
224,152,77055
225,153,41099
226,103,0
227,154,22401
228,155,21045
229,97,80216
230,156,0
231,157,99301
232,7,90032
233,158,40121
234,102,3755
235,159,17237
236,144,46556
237,152,77072
238,160,22314
239,161,0
240,162,47907
241,163,50317
242,164,20135
243,165,92563
244,4,0
245,156,0
246,166,8035
247,11,15213
248,167,21541
249,97,80216
250,4,0
251,152,77030
252,168,84106
253,38,37203
254,136,21216
255,4,0
256,81,98195
