Project_Id,Location_Id,ProjectName,GrossFloorAreaSqm,ProjectTypes,IsCertified
1000011028,1,Clarksburg Fire Station 35,2139.09,Public Order and Safety: Fire/Police Station,Yes
1000011315,2,Moultrie Courthouse - C Street Addition,16258.02,Office: Government,Yes
1000012868,3,Petrocelli Surgical Pavilion Addition,26830.48,Health Care,Yes
1000017965,4,CONF,30028.29,CONF,Yes
1000020194,5,UMD New Cole Fieldhouse,37827.78,Core Learning Space: College/University,Yes
1000024595,6,PG Seropedica Genie,13109.91,Industrial Manufacturing,Yes
1000026963,7,LA North Central Animal Care Ctr II,3682.12,Office: Government,Yes
1000027670,8,Harper College - Building D,13226.69,Core Learning Space: College/University,Yes
1000028180,9,UVA Wise Library,6350.2,Public Assembly: Library,Yes
1000028301,10,Samuelson Bldg Renovation & Expansion,12611.86,Core Learning Space: College/University,Yes
1000029009,11,CONF,1659.62,CONF,Yes
1000031364,12,CONF,6135.5,CONF,Yes
1000032129,13,Pittsburgh Playhouse,8393.79,Core Learning Space: College/University,Yes
1000032397,14,CONF,7006.0,CONF,Yes
1000034456,15,Cittadella della Accoglienza,6539.93,Healthcare: Nursing Home/ Assisted Living,Yes
1000035933,16,New York State Insurance Fund,29198.02,Office: Government,Yes
1000036749,17,Ziraat Bank Tower 2,83394.66,Office: Administrative/Professional,Yes
1000036792,18,Idlewild Nature Center,457.36,Core Learning Space: Other classroom education,Yes
1000041700,19,CLC GMP1-GMP2,21300.89,Core Learning Space: College/University,Yes
1000045301,20,Elizabeth House III,20086.56,Multi-Family Residential: Apartment,Yes
1000045559,21,NZP Bird House Facility Renewal,2847.94,Public Assembly: Other Assembly,Yes
1000051846,22,Glenn County Courthouse,5216.13,Office: Government,Yes
1000052319,23,CONF,56378.94,CONF,Yes
1000052529,24,UPJ Engineering - Science Building Reno,6061.46,Core Learning Space: College/University,Yes
1000052631,25,Holiday Inn and Suites,10217.75,"Lodging: Hotel/Motel/Resort, Full Service",Yes
1000053613,26,River Landing Residences,95363.63,Multi-Family Residential: Apartment,Yes
1000054064,27,"Shasta County, New Redding Courthouse",14629.34,Other,Yes
1000055676,28,VA Stockton CUP,836.5,Service: Other Service,Yes
1000055677,29,VA Stockton CBOC,14051.76,Healthcare: Clinic/Other Outpatient,Yes
1000056941,30,CALVERT VAUX PARK COMFORT STATION,307.97,Public Order and Safety: Other Public Order,Yes
1000057425,31,Loudoun County Juvenile Detention Center,3316.64,Other,Yes
1000058836,32,CONF,270321.07,CONF,Yes
1000059705,33,GM Design Center,33445.08,Office: Administrative/Professional,Yes
1000061064,34,Sai Kung Hotel,17940.13,"Lodging: Hotel/Motel/Resort, Full Service",Yes
1000063098,35,WWRC Anderson Vocational Building,10406.16,Core Learning Space: Other classroom education,Yes
1000063509,36,Missoni Baia,76855.86,Multi-Family Residential: Condominium,Yes
1000064718,37,Whitt Hall Renovation,3045.36,Core Learning Space: College/University,Yes
1000065115,38,HBS Production Base,148833.95,Other,Yes
1000065117,39,HBS Art Museum,12073.58,Public Assembly: Museum,Yes
1000065227,40,CONF,37502.9,CONF,Yes
1000065546,41,Wertheim Laboratory Building,7948.78,Core Learning Space: College/University,Yes
1000065565,42,Clarendon West 1,29447.0,Multi-Family Residential: Apartment,Yes
