Project_Id,ProjectName,City,State,Zipcode,Country,RatingSystem,PointsAchieved,CertLevel,CertDate,IsCertified,GrossFloorAreaSqm,ProjectTypes,waste_intensity,Waste Reduction %,Estimated Waste,Waste Savings
1000011028,Clarksburg Fire Station 35,CLA,MD,20871,US,LEED-NC v2009,52,Silver,2024-11-20,Yes,2139.09,Public Order and Safety: Fire/Police Station,60,40,128345.4,5133816.0
1000011315,Moultrie Courthouse - C Street Addition,WAS,DC,20001,US,LEED-NC v2009,81,Platinum,2024-08-30,Yes,16258.02,Office: Government,60,60,975481.2,58528872.0
1000012868,Petrocelli Surgical Pavilion Addition,MAN,NY,11030,US,LEED-NC v2009,53,Silver,2024-08-08,Yes,26830.48,Health Care,100,40,2683048.0,107321920.0
1000017965,CONF,CON,CON,0,US,LEED-NC v2009,52,Silver,2024-08-07,Yes,30028.29,CONF,50,40,1501414.5,60056580.0
1000020194,UMD New Cole Fieldhouse,CP,MD,20742,US,LEED-NC v2009,57,Silver,2024-11-08,Yes,37827.78,Core Learning Space: College/University,25,40,945694.5,37827780.0
1000024595,PG Seropedica Genie,SER,RJ,0,BR,LEED-NC v2009,50,Silver,2024-04-19,Yes,13109.91,Industrial Manufacturing,100,40,1310991.0,52439640.0
1000026963,LA North Central Animal Care Ctr II,LA,CA,90031,US,LEED-NC v2009,51,Silver,2024-09-04,Yes,3682.12,Office: Government,60,40,220927.2,8837088.0
1000027670,Harper College - Building D,PAL,IL,60067,US,LEED-NC v2009,45,Certified,2024-12-09,Yes,13226.69,Core Learning Space: College/University,25,30,330667.25,9920017.5
1000028180,UVA Wise Library,WIS,VA,24293,US,LEED-NC v2009,41,Certified,2024-09-29,Yes,6350.2,Public Assembly: Library,25,30,158755.0,4762650.0
1000028301,Samuelson Bldg Renovation & Expansion,ELL,WA,98926,US,LEED-NC v2009,53,Silver,2024-04-15,Yes,12611.86,Core Learning Space: College/University,25,40,315296.5,12611860.0
1000029009,CONF,CON,CON,0,US,LEED-NC v2009,56,Silver,2024-04-03,Yes,1659.62,CONF,50,40,82981.0,3319240.0
1000031364,CONF,CON,CON,0,US,LEED-NC v2009,65,Gold,2024-09-11,Yes,6135.5,CONF,50,50,306775.0,15338750.0
1000032129,Pittsburgh Playhouse,PIT,PA,15222,US,LEED-NC v2009,43,Certified,2024-05-15,Yes,8393.79,Core Learning Space: College/University,25,30,209844.75,6295342.5
1000032397,CONF,CON,CON,0,US,LEED-NC v2009,50,Silver,2024-08-07,Yes,7006.0,CONF,50,40,350300.0,14012000.0
1000034456,Cittadella della Accoglienza,RDG,TN,38066,IT,LEED Italia NC 2009,76,Gold,2024-02-09,Yes,6539.93,Healthcare: Nursing Home/ Assisted Living,100,50,653993.0,32699650.0
1000035933,New York State Insurance Fund,NY,NY,10007,US,LEED-NC v2009,50,Silver,2024-12-02,Yes,29198.02,Office: Government,60,40,1751881.2,70075248.0
1000036749,Ziraat Bank Tower 2,IST,IST,34750,TR,LEED-NC v2009,81,Platinum,2024-10-10,Yes,83394.66,Office: Administrative/Professional,60,60,5003679.6,300220776.0
1000036792,Idlewild Nature Center,QUE,NY,11413,US,LEED-NC v2009,52,Silver,2024-03-21,Yes,457.36,Core Learning Space: Other classroom education,25,40,11434.0,457360.0
