Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,water_use_intensity,Water_Saving_%,Water_Baseline_L,Water_Saving_L,Water_Saving_m3
1000011028,Clarksburg Fire Station 35,US,Silver,2024-11-20,2139.09,580.0,20,1240672.0,248134.0,248.134
1000011315,Moultrie Courthouse - C Street Addition,US,Platinum,2024-08-30,16258.02,580.0,40,9429652.0,3771861.0,3771.861
1000012868,Petrocelli Surgical Pavilion Addition,US,Silver,2024-08-08,26830.48,2800.0,20,75125344.0,15025069.0,15025.069
1000017965,CONF,US,Silver,2024-08-07,30028.29,500.0,20,15014145.0,3002829.0,3002.829
1000020194,UMD New Cole Fieldhouse,US,Silver,2024-11-08,37827.78,500.0,20,18913890.0,3782778.0,3782.778
1000024595,PG Seropedica Genie,BR,Silver,2024-04-19,13109.91,2800.0,20,36707748.0,7341550.0,7341.55
1000026963,LA North Central Animal Care Ctr II,US,Silver,2024-09-04,3682.12,580.0,20,2135630.0,427126.0,427.126
1000027670,Harper College - Building D,US,Certified,2024-12-09,13226.69,500.0,10,6613345.0,661334.0,661.334
1000028180,UVA Wise Library,US,Certified,2024-09-29,6350.2,500.0,10,3175100.0,317510.0,317.51
1000028301,Samuelson Bldg Renovation & Expansion,US,Silver,2024-04-15,12611.86,500.0,20,6305930.0,1261186.0,1261.186
1000029009,CONF,US,Silver,2024-04-03,1659.62,500.0,20,829810.0,165962.0,165.962
1000031364,CONF,US,Gold,2024-09-11,6135.5,500.0,30,3067750.0,920325.0,920.325
1000032129,Pittsburgh Playhouse,US,Certified,2024-05-15,8393.79,500.0,10,4196895.0,419690.0,419.69
1000032397,CONF,US,Silver,2024-08-07,7006.0,500.0,20,3503000.0,700600.0,700.6
1000034456,Cittadella della Accoglienza,IT,Gold,2024-02-09,6539.93,2800.0,30,18311804.0,5493541.0,5493.541
1000035933,New York State Insurance Fund,US,Silver,2024-12-02,29198.02,580.0,20,16934852.0,3386970.0,3386.97
1000036749,Ziraat Bank Tower 2,TR,Platinum,2024-10-10,83394.66,580.0,40,48368903.0,19347561.0,19347.561
1000036792,Idlewild Nature Center,US,Silver,2024-03-21,457.36,500.0,20,228680.0,45736.0,45.736
1000041700,CLC GMP1-GMP2,US,Silver,2024-08-01,21300.89,500.0,20,10650445.0,2130089.0,2130.089
1000045301,Elizabeth House III,US,Gold,2024-07-11,20086.56,580.0,30,11650205.0,3495061.0,3495.061
1000045559,NZP Bird House Facility Renewal,US,Gold,2024-02-21,2847.94,580.0,30,1651805.0,495542.0,495.542
1000051846,Glenn County Courthouse,US,Gold,2024-05-22,5216.13,580.0,30,3025355.0,907607.0,907.607
1000052319,CONF,US,Silver,2024-01-26,56378.94,500.0,20,28189470.0,5637894.0,5637.894
1000052529,UPJ Engineering - Science Building Reno,US,Certified,2024-06-12,6061.46,500.0,10,3030730.0,303073.0,303.073
1000052631,Holiday Inn and Suites,US,Silver,2024-01-16,10217.75,2200.0,20,22479050.0,4495810.0,4495.81
1000053613,River Landing Residences,US,Silver,2024-03-29,95363.63,580.0,20,55310905.0,11062181.0,11062.181
1000054064,"Shasta County, New Redding Courthouse",US,Gold,2024-08-19,14629.34,500.0,30,7314670.0,2194401.0,2194.401
1000055676,VA Stockton CUP,US,Silver,2024-07-09,836.5,500.0,20,418250.0,83650.0,83.65
1000055677,VA Stockton CBOC,US,Gold,2024-07-09,14051.76,2800.0,30,39344928.0,11803478.0,11803.478
1000056941,CALVERT VAUX PARK COMFORT STATION,US,Silver,2024-07-15,307.97,500.0,20,153985.0,30797.0,30.797
1000057425,Loudoun County Juvenile Detention Center,US,Gold,2024-05-02,3316.64,500.0,30,1658320.0,497496.0,497.496
1000058836,CONF,AE,Certified,2024-02-12,270321.07,500.0,10,135160535.0,13516054.0,13516.054
1000059705,GM Design Center,US,Certified,2024-05-02,33445.08,580.0,10,19398146.0,1939815.0,1939.815
1000061064,Sai Kung Hotel,HK,Gold,2024-02-28,17940.13,2200.0,30,39468286.0,11840486.0,11840.486
1000063098,WWRC Anderson Vocational Building,US,Certified,2024-07-10,10406.16,500.0,10,5203080.0,520308.0,520.308
1000063509,Missoni Baia,US,Silver,2024-04-29,76855.86,580.0,20,44576399.0,8915280.0,8915.28
1000064718,Whitt Hall Renovation,US,Gold,2024-08-07,3045.36,500.0,30,1522680.0,456804.0,456.804
1000065115,HBS Production Base,CN,Gold,2024-04-11,148833.95,500.0,30,74416975.0,22325092.0,22325.092
1000065117,HBS Art Museum,CN,Platinum,2024-04-11,12073.58,580.0,40,7002676.0,2801071.0,2801.071
1000065227,CONF,US,Silver,2024-12-26,37502.9,500.0,20,18751450.0,3750290.0,3750.29
1000065546,Wertheim Laboratory Building,US,Silver,2024-02-07,7948.78,500.0,20,3974390.0,794878.0,794.878
1000065565,Clarendon West 1,US,Gold,2024-03-11,29447.0,580.0,30,17079260.0,5123778.0,5123.778
1000066926,Modera Rincon Hill,US,Silver,2024-12-20,16519.73,580.0,20,9581443.0,1916289.0,1916.289
1000068525,Amrita Institute of Medical Science,IN,Gold,2024-08-20,393784.0,2800.0,30,1102595200.0,330778560.0,330778.56
1000068550,CONF,US,Silver,2024-09-17,17647.3,500.0,20,8823650.0,1764730.0,1764.73
1000068666,Sherborn Library Addition,US,Certified,2024-08-26,709.96,500.0,10,354980.0,35498.0,35.498
1000068761,IU Memorial Stadium Excellence Academy,US,Gold,2024-04-12,10816.05,2800.0,30,30284940.0,9085482.0,9085.482
1000068763,Four Seasons Hotel & Private Residences,US,Gold,2024-08-02,61169.01,500.0,30,30584505.0,9175352.0,9175.352
1000069108,Buddy Holly Hall of Performing Arts,US,Certified,2024-02-08,19881.24,580.0,10,11531119.0,1153112.0,1153.112
1000069449,Holden Hall - Virginia Tech,US,Gold,2024-03-08,9290.3,500.0,30,4645150.0,1393545.0,1393.545
1000069540,Virginia DBVI Headquarters Renovation,US,Gold,2024-04-25,1814.3,580.0,30,1052294.0,315688.0,315.688
1000069729,Aspen Melford Town Center,US,Gold,2024-07-16,41344.06,580.0,30,23979555.0,7193866.0,7193.866
1000070502,CONF,CN,Gold,2024-06-10,59197.35,500.0,30,29598675.0,8879602.0,8879.602
1000070772,King County LOOP Fleet Facility,US,Platinum,2024-05-28,1352.67,580.0,40,784549.0,313819.0,313.819
1000070805,Student Services Center- LAMC,US,Gold,2024-03-13,5894.14,500.0,30,2947070.0,884121.0,884.121
1000071091,Harrison Albany Block Building 2,US,Gold,2024-01-12,28364.21,580.0,30,16451242.0,4935373.0,4935.373
1000073115,CONF,US,Silver,2024-03-19,2564.49,500.0,20,1282245.0,256449.0,256.449
1000073581,CONF,US,Gold,2024-03-05,6147.39,500.0,30,3073695.0,922108.0,922.108
1000074052,Chabot College Biological Sciences Annex,US,Silver,2024-04-01,1803.06,500.0,20,901530.0,180306.0,180.306
1000074344,UVA - Gilmer Hall,US,Silver,2024-06-26,20624.47,500.0,20,10312235.0,2062447.0,2062.447
1000074436,City of Minneapolis ESS&MF,US,Gold,2024-11-18,18974.04,580.0,30,11004943.0,3301483.0,3301.483
1000074440,Arsenal Yards Hampton Inn & Suites,US,Silver,2024-03-28,10124.1,2200.0,20,22273020.0,4454604.0,4454.604
1000075239,Towson University Science Complex,US,Gold,2024-09-06,29627.14,500.0,30,14813570.0,4444071.0,4444.071
1000075504,Baoan Phase 3 WTE Power Plant,CN,Gold,2024-03-04,10860.08,580.0,30,6298846.0,1889654.0,1889.654
1000075550,SUNY Ambulatory Care Facility,US,Gold,2024-03-13,18910.78,2800.0,30,52950184.0,15885055.0,15885.055
1000075790,Lewiston-Queenston Land Port of Entry,US,Silver,2024-04-04,4180.64,500.0,20,2090320.0,418064.0,418.064
1000077786,CNU -  Torggler Fine Art Center,US,Certified,2024-05-15,8033.69,500.0,10,4016845.0,401684.0,401.684
1000078124,C-17 Fuel Cell Hangar Project,US,Silver,2024-01-11,5844.9,580.0,20,3390042.0,678008.0,678.008
1000078249,La MaMa Experimental Theater,US,Silver,2024-01-09,819.87,580.0,20,475525.0,95105.0,95.105
1000078278,Port of Long Beach Fireboat Station 20,US,Gold,2024-01-02,908.87,580.0,30,527145.0,158143.0,158.143
1000078343,AF PN FJXT133000 DAFB Maintenance Hangar,US,Silver,2024-04-19,7709.37,500.0,20,3854685.0,770937.0,770.937
1000078390,CONF,US,Platinum,2024-07-15,78342.22,500.0,40,39171110.0,15668444.0,15668.444
1000078903,South County Police St & Animal Shelter,US,Silver,2024-12-05,4882.8,580.0,20,2832024.0,566405.0,566.405
1000080765,CONF,US,Certified,2024-04-23,67447.58,500.0,10,33723790.0,3372379.0,3372.379
1000080871,Sterling Park Safety Center,US,Gold,2024-10-22,2171.33,580.0,30,1259371.0,377811.0,377.811
1000081685,Missile Maintenance Dispatch Facility,US,Silver,2024-01-11,3897.75,500.0,20,1948875.0,389775.0,389.775
1000083476,Winthrop Center Residences,US,Gold,2024-06-17,60386.95,580.0,30,35024431.0,10507329.0,10507.329
1000085478,Miami-Dade Fire Rescue Fire Station 29,US,Silver,2024-10-24,1056.31,580.0,20,612660.0,122532.0,122.532
1000085523,W&M Fine & Performing Arts Center,US,Silver,2024-08-29,14877.39,500.0,20,7438695.0,1487739.0,1487.739
1000085744,UCSD Marine Conservation & Tech Facility,US,Gold,2024-06-17,3237.76,500.0,30,1618880.0,485664.0,485.664
1000087076,CCL - B1,US,Silver,2024-01-23,23132.85,580.0,20,13417053.0,2683411.0,2683.411
1000087533,Towson University Union,US,Gold,2024-03-29,23750.65,500.0,30,11875325.0,3562598.0,3562.598
1000087548,CONF,US,Silver,2024-01-23,8095.66,500.0,20,4047830.0,809566.0,809.566
1000087812,CONF,US,Silver,2024-10-04,10219.33,500.0,20,5109665.0,1021933.0,1021.933
1000088097,CONF,AE,Gold,2024-12-27,1896.61,500.0,30,948305.0,284492.0,284.492
1000088354,H Building Allianz,IT,Silver,2024-08-29,36217.0,580.0,20,21005860.0,4201172.0,4201.172
1000088508,Camp Rilea B7116,US,Certified,2024-01-09,3112.25,500.0,10,1556125.0,155612.0,155.612
1000090500,Heliport,US,Silver,2024-01-28,1506.05,580.0,20,873509.0,174702.0,174.702
1000090599,JHU - Applied Physics Laboratory B201,US,Silver,2024-02-29,24433.49,2800.0,20,68413772.0,13682754.0,13682.754
1000092493,CONF,US,Gold,2024-08-29,0.0,500.0,30,0.0,0.0,0.0
1000092882,Orlando Wetlands Park Operations Center,US,Gold,2024-08-22,623.66,500.0,30,311830.0,93549.0,93.549
1000093087,Engine 37 Expansion,US,Gold,2024-11-07,1005.95,580.0,30,583451.0,175035.0,175.035
1000093749,WRHC Building F Renovation,US,Certified,2024-10-23,9948.05,500.0,10,4974025.0,497402.0,497.402
1000094413,URBA,US,Silver,2024-05-03,35667.78,580.0,20,20687312.0,4137462.0,4137.462
