ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossFloorArea,UnitOfMeasurement,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
1000011028,No,Clarksburg Fire Station 35,23420 Frederick Rd.,Clarksburg,MD,20871,US,LEED-NC v2009,52,Silver,20/11/2024 00:00,Yes,"Government Use: Local, County",23025,Sq ft,0,Public Order and Safety: Fire/Police Station,Montgomery County MD,18/11/2010 00:00
1000011315,No,Moultrie Courthouse - C Street Addition,"501 C Street, NW",Washington,DC,20001,US,LEED-NC v2009,81,Platinum,30/08/2024 00:00,Yes,"Government Use: Local, City",175000,Sq ft,39340,Office: Government,Capital Projects And Facilities Mngmt.,06/12/2010 00:00
1000012868,No,Petrocelli Surgical Pavilion Addition,300 Community Drive,Manhasset,NY,11030,US,LEED-NC v2009,53,Silver,08/08/2024 00:00,Yes,Non-Profit (that do not fit into ot,288801,Sq ft,0,Health Care,North Shore LIJ Health System,08/02/2011 00:00
1000017965,Yes,Confidential,Confidential,Confidential,MD,Confidential,US,LEED-NC v2009,52,Silver,07/08/2024 00:00,Yes,Confidential,323222,Sq ft,2155214,Confidential,Confidential,18/08/2011 00:00
1000020194,No,UMD New Cole Fieldhouse,4090 Union Drive,College Park,MD,20742,US,LEED-NC v2009,57,Silver,08/11/2024 00:00,Yes,"Educational: College, Public",407175,Sq ft,570831,Core Learning Space: College/University,University Of Maryland College Park,15/11/2011 00:00
1000024595,No,PG Seropedica Genie,"Estrada RJ 157, 1700 - Bairro Cabral",Seropedica,RJ,26600-000,BR,LEED-NC v2009,50,Silver,19/04/2024 00:00,Yes,Corporate: Privately Held,141114,Sq ft,1732028.67,Industrial Manufacturing,Procter Gamble Do Brasil,11/05/2012 00:00
1000026963,No,LA North Central Animal Care Ctr II,3201 Lacy St.,Los Angeles,CA,90031,US,LEED-NC v2009,51,Silver,04/09/2024 00:00,Yes,"Government Use: Local, City",39634,Sq ft,106285,Office: Government,Los Angeles Animal Services,30/08/2012 00:00
1000027670,No,Harper College - Building D,1200 W. Algonquin Road,Palatine,IL,60067,US,LEED-NC v2009,45,Certified,09/12/2024 00:00,Yes,"Educational: Community College, Pub",142371,Sq ft,190220,Core Learning Space: College/University,William Rainey Harper College,04/10/2012 00:00
1000028180,No,UVA Wise Library,1 College Ave,Wise,VA,24293,US,LEED-NC v2009,41,Certified,29/09/2024 00:00,Yes,"Educational: College, Public",68353,Sq ft,139000,Public Assembly: Library,University Of Virginia's College At Wise,29/10/2012 00:00
1000028301,No,Samuelson Bldg Renovation & Expansion,Central Washington University,Ellensburg,WA,98926,US,LEED-NC v2009,53,Silver,15/04/2024 00:00,Yes,Government Use: State,135753,Sq ft,161161,Core Learning Space: College/University,Central Washington University,04/11/2012 00:00
1000029009,Yes,Confidential,Confidential,Confidential,NY,Confidential,US,LEED-NC v2009,56,Silver,03/04/2024 00:00,Yes,Confidential,17864,Sq ft,15290,Confidential,Confidential,06/12/2012 00:00
1000031364,Yes,Confidential,Confidential,Confidential,CA,Confidential,US,LEED-NC v2009,65,Gold,11/09/2024 00:00,Yes,Confidential,66042,Sq ft,102709,Confidential,Confidential,19/03/2013 00:00
1000032129,No,Pittsburgh Playhouse,350 Forbes Street,Pittsburgh,PA,15222,US,LEED-NC v2009,43,Certified,15/05/2024 00:00,Yes,"Educational: University, Private",90350,Sq ft,34854,Core Learning Space: College/University,Point Park University,18/04/2013 00:00
1000032397,Yes,Confidential,Confidential,Confidential,GU,Confidential,US,LEED-NC v2009,50,Silver,07/08/2024 00:00,Yes,Confidential,75412,Sq ft,459361.7,Confidential,Confidential,30/04/2013 00:00
