CountryName,StateName,CityName,CertCount
AE,AE,AA,1
AE,AE,AD,23
AE,AE,DUB,41
AE,AE,FUJ,1
AE,AE,RAK,1
AE,AE,SHA,3
AE,CON,CON,5
BR,CON,CON,2
BR,DF,BRA,1
BR,MS,NOA,1
BR,PR,COL,1
BR,PR,CUR,1
BR,PR,MAR,1
BR,PR,MCR,1
BR,RJ,QUE,1
BR,RJ,RDJ,7
BR,RJ,SER,1
BR,RS,CDS,1
BR,RS,VA,1
BR,SC,NV,1
BR,SC,PB,1
BR,SP,ARU,1
BR,SP,ATI,1
BR,SP,BAR,1
BR,SP,CAJ,1
BR,SP,JAN,1
BR,SP,SDP,1
BR,SP,SJDC,2
BR,SP,SOR,2
BR,SP,SP,23
CA,AB,CAL,4
CA,AB,EDM,1
CA,AB,INN,1
CA,AB,LET,1
CA,AB,SA,1
CA,BC,SUR,2
CA,BC,VAN,2
CA,BC,VIC,2
CA,CON,CON,10
CA,MB,WIN,2
CA,NL,CB,1
CA,NS,ANT,1
CA,ON,AJA,1
CA,ON,BRA,1
CA,ON,CAM,1
CA,ON,KIT,1
CA,ON,MIS,4
CA,ON,OAK,1
CA,ON,OTT,7
CA,ON,TOR,11
CA,QC,GRA,1
CA,QC,LAV,1
CA,QC,MON,9
CA,QC,SAI,3
CA,QC,SAL,1
CA,QC,SDB,1
CA,QC,VAU,2
CA,QC,WES,1
CA,SK,SAS,1
CN,ANH,HEF,6
CN,ANH,SHA,1
CN,BEI,BEI,52
CN,CD,CD,1
CN,CHA,CHA,9
CN,CHO,CHO,5
CN,CHO,CQ,1
CN,CON,CON,21
CN,FUJ,FUZ,1
CN,FUJ,XIA,1
CN,GUA,DON,4
CN,GUA,FC,5
CN,GUA,FOS,10
CN,GUA,GUA,34
CN,GUA,HUI,1
CN,GUA,SHE,11
CN,GUA,ZHO,1
CN,GUA,ZHU,2
CN,GUA,ZNT,1
CN,GUI,GUI,3
CN,HAE,HAE,2
CN,HAR,HAR,3
CN,HEN,KAI,7
CN,HEN,ZHE,10
CN,HOH,HOH,1
CN,HUB,EZH,4
CN,HUB,WUH,7
CN,HUB,XIA,1
CN,HUN,CHA,7
CN,JIA,CHA,4
CN,JIA,KUN,21
CN,JIA,NAN,11
CN,JIA,SC,1
CN,JIA,SUZ,32
CN,JIA,TAI,7
CN,JIA,WUX,11
CN,JIA,ZG,1
CN,SHA,JIN,6
CN,SHA,QIN,6
CN,SHA,SHA,74
CN,SHA,XI',1
CN,SHA,XIA,9
CN,SHA,YAN,4
CN,SHE,SHE,2
CN,SHI,SHI,4
CN,SIC,CHE,33
CN,SIC,NAN,3
CN,SIC,QIO,1
CN,TIA,TIA,24
CN,UC,UC,1
CN,XNA,XNA,1
CN,YUN,KS,5
CN,YUN,WUX,1
CN,ZHE,HAN,19
CN,ZHE,JIA,16
CN,ZHE,NIN,7
CN,ZHE,PIN,1
CN,ZHE,WEN,6
CN,ZHE,YC,2
ES,ALM,AND,1
ES,BAL,IBI,1
ES,BAL,MAL,1
ES,BCN,BAR,12
ES,BCN,CDL,1
ES,BCN,EDLB,1
ES,BCN,LDL,2
ES,BCN,ODM,1
ES,BCN,PDL,2
