Project_Id,Country,StateName,CityName,ProjectTypes,CertLevel,PointsAchieved,FloorArea,EnergySaving,CO2Avoided,CertDate
1000011028,US,MD,CLA,"Public Order and Safety: Fire/Police Station",Silver,52,2139.09,48130,21177,"2024-11-20 00:00:00"
1000011315,US,DC,WAS,"Office: Government",Platinum,81,16258.02,853546,375560,"2024-08-30 00:00:00"
1000012868,US,NY,MAN,"Health Care",Silver,53,26830.48,2817200,1239568,"2024-08-08 00:00:00"
1000017965,US,CON,CON,CONF,Silver,52,30028.29,1126061,495467,"2024-08-07 00:00:00"
1000020194,US,MD,CP,"Core Learning Space: College/University",Silver,57,37827.78,1702250,748990,"2024-11-08 00:00:00"
1000024595,BR,RJ,SER,"Industrial Manufacturing",Silver,50,13109.91,1376541,178950,"2024-04-19 00:00:00"
1000026963,US,CA,LA,"Office: Government",Silver,51,3682.12,82848,36453,"2024-09-04 00:00:00"
1000027670,US,IL,PAL,"Core Learning Space: College/University",Certified,45,13226.69,396801,174592,"2024-12-09 00:00:00"
1000028180,US,VA,WIS,"Public Assembly: Library",Certified,41,6350.2,190506,83823,"2024-09-29 00:00:00"
1000028301,US,WA,ELL,"Core Learning Space: College/University",Silver,53,12611.86,567534,249715,"2024-04-15 00:00:00"
1000029009,US,CON,CON,CONF,Silver,56,1659.62,62236,27384,"2024-04-03 00:00:00"
1000031364,US,CON,CON,CONF,Gold,65,6135.5,383469,168726,"2024-09-11 00:00:00"
1000032129,US,PA,PIT,"Core Learning Space: College/University",Certified,43,8393.79,251814,110798,"2024-05-15 00:00:00"
1000032397,US,CON,CON,CONF,Silver,50,7006,262725,115599,"2024-08-07 00:00:00"
1000034456,IT,TN,RDG,"Healthcare: Nursing Home/ Assisted Living",Gold,76,6539.93,1144488,286122,"2024-02-09 00:00:00"
1000035933,US,NY,NY,"Office: Government",Silver,50,29198.02,656955,289060,"2024-12-02 00:00:00"
1000036749,TR,IST,IST,"Office: Administrative/Professional",Platinum,81,83394.66,4378220,1882634,"2024-10-10 00:00:00"
1000036792,US,NY,QUE,"Core Learning Space: Other classroom education",Silver,52,457.36,20581,9056,"2024-03-21 00:00:00"
1000041700,US,IL,GRA,"Core Learning Space: College/University",Silver,57,21300.89,958540,421758,"2024-08-01 00:00:00"
1000045301,US,MD,SS,"Multi-Family Residential: Apartment",Gold,61,20086.56,753246,331428,"2024-07-11 00:00:00"
1000045559,US,DC,WAS,"Public Assembly: Other Assembly",Gold,62,2847.94,106798,46991,"2024-02-21 00:00:00"
1000051846,US,CA,WIL,"Office: Government",Gold,60,5216.13,195605,86066,"2024-05-22 00:00:00"
